name,views,description,img_alt,video_link,warn_info
asics,6100,"Feet so fast, we had to go into slow-mo. 🎥 ASICS athlete Diane Nukuri is pushing her personal bests with the power of the METASPEED™+ Series shoes.","Feet so fast, we had to go into slow-mo. 🎥 ASICS athlete Diane Nukuri is pushing her personal bests with the power of the METASPEED™+ Series shoes. created by ASICS with ASICS's original sound - ASICS",/@asics/video/7187523910735236353,
asics,6929,U.S. Women Marathoners! Meet the main characters of the ,U.S. Women Marathoners! Meet the main characters of the #WCHOREGON22 Emma Bates and Sara Hall #ASICSRUNNING  #MARATHON #RUNTOK #ASICSRUNNING created by ASICS with ASICS's original sound - ASICS,/@asics/video/7186764019376704770,
asics,5817,A love for soccer helps Benjamin Azamati run even faster. ⚽➡️🎽 ,A love for soccer helps Benjamin Azamati run even faster. ⚽➡️🎽 #SPRINTER #TRACKANDFIELD #BENJAMINAZAMATI #OREGON #WCHOREGON22 #ASICSRUNNING #RUNTOK #RUNNING  created by ASICS with ASICS's original sound,/@asics/video/7185681013434060034,
asics,6792,Three tips for runner injury prevention with ,Three tips for runner injury prevention with #ASICS FrontRunner @mileswithmarcus #runtok #marathontraining #training #asics created by ASICS with ASICS's original sound - ASICS,/@asics/video/7184837470075374850,
asics,377.9K,“Go for a run in the ,“Go for a run in the #SUPERBLAST shoes and tell me you don’t love them... It’s impossible!” – Ed Goddard Try our newest shoe for yourself. Available now. created by ASICS with DJ Keblinger$'s Happy,/@asics/video/7184460785597369601,
asics,7624,"Warm up with ASICS athlete, Gladys Chepkurui! ","Warm up with ASICS athlete, Gladys Chepkurui! #marathontraining #runtok #track #running #kenya  created by ASICS with Chris Alan Lee's Swear By It",/@asics/video/7179688303287962882,
asics,10.7K,ASICS X ,ASICS X @apc_paris GEL-SONOMA 15-50. Available now around the 🌎 #shoehaul #sneakerhead  #streetstyle #fashioninspo  created by ASICS with Jonathan Paulsen's Roll Up,/@asics/video/7179277400667196674,
asics,8406, x ASICS. Sportstyle. Launching December 20th at 3pm CET exclusively on ceciliebahnsen.com,@Cecilie Bahnsen x ASICS. Sportstyle. Launching December 20th at 3pm CET exclusively on ceciliebahnsen.com created by ASICS with TimTaj's Fashion show (short),/@asics/video/7178928757728709890,
asics,7359,"You heard it here first from the French national record holder in the half marathon, ","You heard it here first from the French national record holder in the half marathon, @Mecky ( Erab 🦌) ! #metaspeed #marathon #training #runtok  created by ASICS with RNDR's Into the Sky",/@asics/video/7176997055372463361,
asics,5333,Brandon Starc has learned from the best—his elder bro Mitch. 🏏 🏆 ,Brandon Starc has learned from the best—his elder bro Mitch. 🏏 🏆 #ASICS #ASICSSHOES #SIBLING #MOTIVATION #INSPIRATION #ATHLETIC #BRANDONSTARC  created by ASICS with ASICS's original sound,/@asics/video/7176434275120712962,
asics,5020,  on her ,@Sarah Carli  on her #squadgoals! 👟 💪 🇦🇺 #ASICS #RUNNING #RUNNINGSHOES #TRACKNATION   created by ASICS with ASICS's original sound,/@asics/video/7174827697992912129,
asics,4336,POV: you just completed one of the biggest trail races at ,POV: you just completed one of the biggest trail races at #asics #saintelyon                         #trailrunning #racing #ultramarathon #runningshoes #trailshoes  created by ASICS with ASICS Brasil's sonido original,/@asics/video/7173726857869692162,
asics,6062,Leave it to the discus thrower to find the best angle 📐 🙌 🥉 ,Leave it to the discus thrower to find the best angle 📐 🙌 🥉 #discus #discusthrow #trackandfield #tracknation  created by ASICS with ASICS's original sound,/@asics/video/7172725359849377026,
asics,6436,ASICS Sportstyle x BEAMS GEL-KAYANO ® 14. ,ASICS Sportstyle x BEAMS GEL-KAYANO ® 14. #sneakerhaul #sportstyle #fashion #goretex #streetstyle  created by ASICS with ASICS's original sound,/@asics/video/7171517830079286529,
asics,5278,"High arches, low arches, ALL THE ARCHES. See how the ","High arches, low arches, ALL THE ARCHES. See how the #ASICS 3D printer is helping runners run better. 👟 #DESIGN #TECHNOLOGY #ASICSSHOES  created by ASICS with ASICS's original sound",/@asics/video/7171085339132546306,
asics,369.9K,Now THOSE are some big shoes to fill! 🩴🩴 You won’t believe what our 3D printer churned out at the ASICS offices. ,Now THOSE are some big shoes to fill! 🩴🩴 You won’t believe what our 3D printer churned out at the ASICS offices. #DESIGN #MAKER #TECHNOLOGY #ASICS created by ASICS with ASICS's original sound - ASICS,/@asics/video/7168930970983353601,
asics,12.7K,"The perfect sneakers for fall, the GEL-1130 ™, GEL-KAYANO ™ 14 and the GEL-1090 ™ V2. ","The perfect sneakers for fall, the GEL-1130 ™, GEL-KAYANO ™ 14 and the GEL-1090 ™ V2. #kicks #asicssportstyle #shoehaul #fashion #sportstyle #streetstyle  created by ASICS with Prod. By Rose's Strawberry",/@asics/video/7167385258394930433,
asics,4237,"Errr—running in jeans? Well, when you’re one of the fastest one-mile runners in the world, you can do what you want. ","Errr—running in jeans? Well, when you’re one of the fastest one-mile runners in the world, you can do what you want. #ASICS #RUNNING #BLUEJEANSMILE #MENTALHEALTH #SOUNDMINDSOUNDBODY   created by ASICS with ASICS's original sound",/@asics/video/7166676280480484610,
asics,4244,"When you run for mom, you always win. (And it’s a whole lot easier when you’re speedster Joseph Fahnbulleh!) 🇱🇷 ","When you run for mom, you always win. (And it’s a whole lot easier when you’re speedster Joseph Fahnbulleh!) 🇱🇷 #ASICS #RUNNING #RUNNINGSHOES #FAMILY #WESTAFRICA  @Fahnbulleh  created by ASICS with ASICS's original sound",/@asics/video/7166042596073164033,
asics,4217,How do you prep for your marathons? Moroccan runner Mohamed Reda El Aaraby shares his family secrets. 🏃 💨 🇲🇦 ,How do you prep for your marathons? Moroccan runner Mohamed Reda El Aaraby shares his family secrets. 🏃 💨 🇲🇦 #ASICS #RUNNING #MARATHON   created by ASICS with ASICS's original sound,/@asics/video/7164160324986293505,
asics,2.5M,The SUPERBLAST™ shoe will be launching into orbit globally next month. 🚀 #,The SUPERBLAST™ shoe will be launching into orbit globally next month. 🚀 ##sneakers##marathon##runtok##asics##asicsshoes##running##sneakertok@techrepkenzie   created by ASICS with Official Sound Studio's On My Eyes,/@asics/video/7163326227355372802,
asics,9846,That feeling when you step on to a brand new ,That feeling when you step on to a brand new #track for the first time #running #asmr #sneakers #sneakerhead #trackandfield #runningasmr #asics  created by ASICS with ASICS's original sound,/@asics/video/7161430047105076481,
asics,3559,City streets or back roads? Track or trail? Let’s talk favorite ,City streets or back roads? Track or trail? Let’s talk favorite #running spots! 🛣🌲🌱#ASICS #RUNNER #FITNESS #NATURE #NATUREBATHING  created by ASICS with ASICS's original sound,/@asics/video/7160683404818664706,
asics,3197,Congratulations to all who ran in this year’s ,Congratulations to all who ran in this year’s #ColumbusMarathon! #running #asics #marathon #columbus #runtok   created by ASICS with TimTaj's dance(256762),/@asics/video/7158074159564655874,
asics,2824,"BTS of our T20 World Cup shirt launch, the 1st time a country will wear a shirt featuring a first nations design at a Cricket World Cup. Link in bio.","BTS of our T20 World Cup shirt launch, the 1st time a country will wear a shirt featuring a first nations design at a Cricket World Cup. Link in bio. created by ASICS with ASICS's original sound - ASICS",/@asics/video/7156642837633780994,
asics,3991,ASICS Sportstyle x ,ASICS Sportstyle x @cecilie_bahnsen #sneakers #fashion #sneakerhaul #fashionshoes #parisfashionweek created by ASICS with ASICS's original sound - ASICS,/@asics/video/7155874371700116737,
asics,4476,Its all in the details ,Its all in the details @Cecilie Bahnsen  created by ASICS with ASICS's original sound,/@asics/video/7155486103376628993,
asics,11K,"Highlights from @Cecilie_Bahnsen's Paris Fashion Week show, featuring the GEL-1130™, GEL-1090™ and GEL-NIMBUS™ 9 sneakers 👀","Highlights from @Cecilie_Bahnsen's Paris Fashion Week show, featuring the GEL-1130™, GEL-1090™ and GEL-NIMBUS™ 9 sneakers 👀 created by ASICS with Foxxi's BORN FOR THIS",/@asics/video/7153741906265132290,
asics,3889,Don’t forget to fuel up before a long run. 🔔 ,Don’t forget to fuel up before a long run. 🔔 #Carbsforlife #ASICS #ASICSshoes👟 #ASICSRunning #runningasmr #runtok #satisfying #RunForIt #Meditate #SelfCare #ASMR #ShoeASMR #FitTok  created by ASICS with ASICS's original sound,/@asics/video/7153250622337207553,
asics,3322," - 🎾 player by day, 🎶 by night ","@Corentin Moutet - 🎾 player by day, 🎶 by night #tennisplayer #tennis #corentinmoutet  created by ASICS with Official Sound Studio's Funk It Up",/@asics/video/7152169996481776898,
asics,2594,"Veterinarian? 🐾 🐱 🐶 Teacher? 👩‍🏫 Steeplechase runner? 😂 Whatever you want to be when you grow up, there’s always a path to get there—right, Lizzie Bird? ","Veterinarian? 🐾 🐱 🐶 Teacher? 👩‍🏫 Steeplechase runner? 😂 Whatever you want to be when you grow up, there’s always a path to get there—right, Lizzie Bird? #ASICS #RUNNING #EQUESTRIAN #TRACKNATION #SPRINT  created by ASICS with ASICS's original sound",/@asics/video/7151808716075994369,
asics,11.5K,Unboxing these METASPEEDs is so satisfying ,Unboxing these METASPEEDs is so satisfying #ASICS #ASICSshoes👟 #ASICSRunning #runningasmr #runtok #satisfying #RunForIt #Meditate #SelfCare #ASMR created by ASICS with ASICS's original sound - ASICS,/@asics/video/7150642157844548866,
asics,16.2K,Start your run right with gear that looks as good as it performs. ,Start your run right with gear that looks as good as it performs. #OutfitInspo #ASICS #ASICSshoes👟 #ASICSRunning #HaulTok #RunningOutfit #ShoeHaul #RunningShoe  created by ASICS with ASICS's original sound,/@asics/video/7149227257150688513,
asics,3290,Are you a busy 🐝? Never miss a run with these tips. 👆 ,Are you a busy 🐝? Never miss a run with these tips. 👆 #ASICSRunning #runningmotivation #runningtips #workoutapp #runkeeper #wellness #workfromhome #runtok  created by ASICS with ASICS's original sound,/@asics/video/7148831123865455873,
asics,5.3M,Blast off with the NOVABLAST 3 shoe 🚀 *featuring a new main upper made with at least 75% recycled content. ,Blast off with the NOVABLAST 3 shoe 🚀 *featuring a new main upper made with at least 75% recycled content. #novablast #novablast3 #running #run  created by ASICS with ASICS's original sound,/@asics/video/7148177017484217602,
asics,9752,How to choose? Our global product manager explains ,How to choose? Our global product manager explains #NOVABLAST #DYNABLAST #running #run  created by ASICS with ASICS's original sound,/@asics/video/7147903008783830274,
